ID,qualityrating,helpfulrating,friendlyrating,dearjake,answer,days
70,77,76,76,1,1,12
71,11,14,12,0,0,9
72,70,88,61,0,1,21
73,63,71,5,0,1,1
74,52,26,98,1,1,12
75,100,100,100,1,1,23
76,27,26,50,0,0,17
77,51,51,76,0,0,25
78,26,51,26,0,1,15
79,62,75,62,0,1,16
80,21,51,31,0,1,24
81,52,50,53,0,0,14
82,31,36,29,1,1,20
83,76,89,76,0,0,3
84,26,40,10,0,0,22
85,41,58,26,0,0,10
86,76,100,100,0,0,18
87,65,98,52,1,0,29
88,89,94,97,1,0,12
89,37,64,31,0,0,26
90,51,51,52,0,0,18
91,46,51,52,1,0,17
92,71,83,83,1,1,13
93,76,100,49,0,1,7
94,51,61,51,1,0,16
95,70,60,71,0,0,17
96,98,100,100,1,0,4
97,79,95,47,1,0,22
98,86,89,100,1,0,15
99,40,43,15,1,0,29
100,35,37,40,1,0,19
101,100,100,100,0,1,28
102,27,29,31,0,1,26
103,50,76,64,0,0,28
104,3,34,15,0,0,11
105,8,11,12,0,0,11
106,5,5,5,0,1,14
107,29,23,26,0,1,14
108,44,51,13,1,1,7
109,70,76,64,0,0,9
110,54,61,70,1,1,12
111,7,16,3,0,0,25
112,22,22,48,0,0,25
113,81,76,93,1,0,9
114,48,51,49,0,0,29
115,72,98,75,1,0,23
116,27,26,27,1,1,21
117,59,75,2,0,1,22
118,28,75,52,0,0,8
119,100,100,90,1,1,3
120,14,38,27,1,0,18
121,28,41,25,0,0,17
122,11,7,9,0,1,27
123,51,65,51,0,0,10
124,0,0,50,1,0,30
125,13,54,2,0,1,13
126,23,25,28,0,0,20
127,100,100,100,0,1,12
128,44,38,50,1,0,23
129,64,86,54,1,1,25
130,50,75,50,0,1,14
131,55,60,34,0,1,12
132,45,70,37,0,1,7
133,25,25,38,0,0,19
134,76,100,85,0,0,15
135,35,76,26,1,0,23
136,6,3,5,1,1,8
137,62,69,53,0,0,8
138,98,97,98,0,1,18
139,68,41,41,0,0,7
140,76,83,93,0,0,23
141,77,94,80,0,1,22
142,26,26,23,1,1,25
143,25,25,25,1,1,22
144,73,73,72,0,0,20
145,97,95,98,1,0,6
146,51,85,76,1,0,30
147,76,92,92,1,0,23
148,74,93,55,0,1,8
149,13,9,26,0,1,12
150,40,36,45,0,0,4
151,84,82,91,1,1,16
152,51,72,51,1,1,23
153,43,34,52,1,0,9
154,43,55,49,1,1,25
155,37,51,26,0,1,14
156,64,63,66,1,1,15
157,85,76,75,0,0,14
158,51,76,76,0,1,26
159,2,4,4,1,0,10
160,50,64,50,0,1,18
161,22,28,26,1,1,9
162,38,42,26,0,1,27
163,76,98,98,1,0,15
164,26,51,4,0,1,19
165,26,20,52,1,0,18
166,27,7,27,1,0,22
167,4,3,2,1,1,5
168,62,67,52,1,0,3
169,34,45,73,1,1,16
170,5,6,5,0,0,26
171,50,51,51,0,1,30
172,18,17,18,0,1,24
173,76,76,51,0,1,28
174,9,11,31,0,1,15
175,7,50,43,0,1,29
176,38,35,0,0,1,5
177,10,25,11,0,1,9
178,50,60,37,0,0,7
179,30,25,25,0,1,22
180,49,50,50,1,0,17
181,95,95,95,1,1,20
182,76,91,51,1,1,19
183,67,78,78,0,1,24
184,74,91,92,1,0,18
185,59,54,66,1,1,22
186,50,50,25,1,0,3
187,60,83,42,0,0,15
188,63,80,52,0,0,25
189,84,88,68,1,1,17
190,51,51,51,1,0,18
191,78,76,77,0,0,20
192,25,20,29,1,1,26
193,35,13,54,1,1,27
194,16,47,14,0,0,7
195,26,32,26,1,1,15
196,90,100,60,0,1,30
197,91,95,89,1,1,5
198,25,25,48,0,1,14
199,27,30,36,1,1,1
200,74,77,53,0,0,3
201,NA,NA,NA,1,0,15
202,26,4,26,1,1,17
203,47,72,52,0,1,24
204,85,86,87,1,1,22
205,11,26,9,1,1,29
206,14,26,19,1,0,14
207,51,98,98,1,0,21
208,30,38,49,1,1,28
209,66,70,45,1,1,11
210,92,76,90,0,0,9
211,72,77,54,0,1,3
212,50,42,51,0,1,3
213,8,12,27,0,1,18
214,69,72,80,0,0,25
215,50,50,50,1,1,9
216,41,43,61,0,0,17
217,51,67,76,1,0,23
218,56,61,70,0,0,27
219,6,25,6,1,0,13
220,6,8,58,1,1,22
221,71,69,72,0,1,17
222,35,77,37,1,0,7
223,42,44,49,1,1,4
224,4,6,10,0,0,22
225,97,98,98,1,0,19
226,27,52,51,1,1,27
227,10,7,9,0,1,24
228,57,55,49,0,1,6
229,24,37,36,0,1,28
230,100,100,100,1,0,11
231,38,89,51,0,0,17
232,76,97,98,0,1,14
233,66,88,60,0,0,28
234,0,0,0,0,1,25
235,96,95,94,1,1,21
236,75,70,65,0,0,9
237,74,75,75,1,0,27
238,50,50,50,0,1,3
239,56,90,58,1,1,29
240,51,98,51,1,0,23
241,70,62,71,0,0,21
242,82,77,81,0,1,2
243,97,100,100,1,1,23
244,25,25,25,0,1,8
245,36,33,40,0,1,17
246,26,25,32,1,0,4
247,50,50,50,1,0,6
248,92,94,98,0,1,20
249,33,41,26,0,0,21
250,40,55,50,1,1,5
251,26,40,40,1,0,18
252,1,5,5,0,1,21
253,52,77,51,1,1,9
254,15,25,10,1,1,16
255,26,35,50,0,1,19
256,26,29,50,1,1,20
257,24,20,31,0,1,9
258,37,40,31,0,0,21
259,33,34,51,0,1,8
260,67,51,52,0,0,6
261,99,97,98,0,0,30
262,65,67,34,1,0,8
263,25,17,26,0,1,29
264,71,79,53,0,1,2
265,5,5,4,0,1,21
266,74,78,75,0,0,18
267,4,4,4,1,1,19
268,10,9,27,0,0,16
269,51,100,25,1,1,24
270,82,82,44,1,1,30
271,50,75,50,0,1,15
272,7,10,5,0,1,12
273,50,50,50,1,0,23
274,58,68,37,1,1,20
275,63,75,50,0,1,24
276,32,39,26,1,0,29
277,0,0,0,1,0,20
278,87,71,80,0,1,27
279,6,14,28,0,0,21
280,96,99,96,1,1,4
281,100,100,100,0,0,29
282,19,18,19,0,1,28
283,100,100,100,1,1,26
284,11,51,6,1,0,18
285,85,100,100,1,0,25
286,36,33,35,0,0,13
287,26,50,17,1,0,25
288,52,52,51,0,1,27
289,71,77,5,0,1,2
290,89,99,86,1,0,2
291,19,28,14,1,0,24
292,3,12,12,1,0,11
293,43,42,26,0,1,13
294,30,50,15,0,0,3
295,52,53,53,1,0,25
296,50,76,100,1,0,28
297,60,76,51,0,1,13
298,51,82,51,1,0,28
299,20,23,47,0,0,4
300,18,31,24,1,1,29
301,41,67,57,1,0,14
302,2,3,0,0,1,27
303,50,96,51,0,0,21
304,85,100,75,0,0,7
305,64,88,75,0,0,21
306,26,27,53,1,0,2
307,76,98,53,0,0,8
308,3,3,2,0,1,16
309,19,50,26,1,1,28
310,63,77,50,0,0,9
311,100,97,98,1,0,16
312,14,76,21,0,0,27
313,39,51,25,1,0,4
314,24,33,16,1,1,11
315,25,22,26,0,1,10
316,21,24,26,0,0,17
317,25,26,24,1,1,3
318,50,75,75,1,0,17
319,86,98,36,0,1,11
320,50,46,41,0,0,2
321,66,76,50,0,1,9
322,7,5,16,1,0,14
323,33,38,28,0,1,22
324,51,76,15,0,0,4
325,26,6,62,1,1,10
326,25,33,37,0,0,22
327,61,97,84,0,1,30
328,8,7,6,0,1,30
329,28,23,89,0,1,24
330,95,91,94,1,1,18
331,93,100,82,1,0,13
332,16,75,26,0,0,21
333,77,99,75,0,0,20
334,32,31,36,1,1,28
335,25,10,50,1,1,16
336,80,50,70,1,0,7
337,99,100,100,1,1,19
338,97,100,95,0,0,23
339,37,49,24,0,0,11
340,51,76,27,1,1,7
341,76,76,77,0,1,4
342,77,98,74,1,1,1
343,51,25,99,0,1,20
344,98,98,50,1,0,5
345,68,65,68,0,0,2
346,25,47,18,0,0,17
347,0,4,11,0,0,9
348,92,95,92,1,0,22
349,50,50,24,0,0,25
350,NA,NA,NA,0,1,24
351,51,52,50,1,1,8
352,50,60,70,0,1,5
353,39,51,26,0,0,26
354,50,56,41,0,0,5
355,10,11,4,1,0,3
356,74,75,75,0,0,1
357,76,82,57,0,0,7
358,53,55,78,1,0,28
359,51,51,51,1,0,20
360,26,26,32,1,1,29
361,0,4,0,1,0,22
362,50,50,51,1,1,27
363,70,77,76,0,1,29
364,50,51,51,0,1,30
365,14,20,9,1,1,14
366,20,36,36,1,1,30
367,17,63,14,0,0,22
368,39,37,31,1,1,28
369,4,3,50,1,1,30
370,42,51,51,1,0,11
371,7,7,3,0,0,13
372,50,62,50,1,1,27
373,26,52,8,0,0,1
374,52,75,51,0,0,20
375,38,47,91,1,1,12
376,64,52,77,1,0,4
377,76,77,76,1,1,29
378,60,73,50,1,1,20
379,76,51,94,1,1,6
380,59,56,60,1,1,14
381,80,93,91,1,1,14
382,5,35,4,0,1,15
383,48,74,50,1,0,8
384,90,99,88,1,0,1
385,50,52,51,0,0,8
386,1,1,10,1,0,24
387,55,65,50,0,1,15
388,76,98,26,0,1,27
389,41,73,59,0,0,7
390,48,58,37,1,0,30
391,52,53,52,0,0,23
392,77,74,66,1,0,29
393,50,66,50,0,0,10
394,77,76,67,1,0,17
395,64,77,51,1,1,5
396,4,26,24,0,1,13
397,42,35,47,0,0,21
398,51,43,56,1,1,2
399,5,1,6,1,1,3
400,99,99,99,1,1,24
401,1,0,0,1,1,11
402,5,50,5,0,1,24
403,53,97,80,1,0,17
404,49,31,59,1,1,25
405,27,35,33,0,0,24
406,97,97,97,1,1,13
407,87,91,93,1,0,1
408,51,64,26,0,0,3
409,57,76,51,0,0,20
410,85,87,86,1,0,29
411,47,76,51,0,1,19
412,62,86,62,0,1,10
413,5,5,4,0,1,1
414,57,68,45,0,0,11
415,12,24,1,0,0,21
416,26,27,26,0,1,10
417,40,68,30,0,1,9
418,40,40,70,1,1,22
419,99,98,96,0,1,3
420,25,25,25,0,1,12
421,8,25,8,0,1,16
422,50,50,50,1,0,15
423,19,17,20,0,0,17
424,100,100,100,1,0,7
425,31,19,24,0,1,24
426,57,64,50,1,0,17
427,52,50,39,0,0,9
428,15,25,35,0,0,6
429,85,94,99,1,0,11
430,51,76,4,0,1,8
431,25,25,23,0,0,11
432,50,26,52,1,0,27
433,35,37,41,0,1,10
434,80,77,76,1,1,4
435,83,87,85,0,0,15
436,65,52,49,0,0,29
437,54,52,45,1,1,10
438,82,86,76,0,0,15
439,48,47,57,1,0,29
440,72,77,50,0,0,14
441,26,25,10,0,1,14
442,16,9,7,0,0,14
443,61,75,72,0,0,3
444,75,76,50,0,0,14
445,97,100,100,1,1,30
446,50,50,50,0,0,2
447,92,94,96,1,1,1
448,35,47,41,0,1,24
449,88,92,59,1,0,10
450,37,31,52,1,0,28
451,56,63,44,0,0,23
452,66,77,51,1,0,22
453,89,74,92,0,0,30
454,37,52,39,0,0,27
455,50,42,49,1,0,2
456,43,70,26,1,0,17
457,50,47,48,1,0,12
458,76,72,75,1,0,21
459,74,72,68,1,0,21
460,73,97,51,1,1,2
461,99,100,100,1,0,22
462,67,50,55,0,0,11
463,51,51,76,1,1,24
464,6,8,8,0,0,3
465,5,10,5,1,1,23
466,76,98,96,0,1,18
467,50,48,50,1,1,4
468,76,75,76,1,0,24
469,33,63,29,0,1,6
470,74,50,50,0,0,7
471,76,63,58,1,1,25
472,84,85,75,0,0,28
473,2,2,11,1,0,25
474,51,49,51,0,0,26
475,50,100,55,0,0,23
476,46,73,24,1,0,14
477,11,49,49,0,0,12
478,56,53,52,1,0,15
479,67,74,75,0,1,28
480,20,5,48,1,1,29
481,6,10,5,1,0,26
482,25,25,50,1,1,27
483,50,50,50,1,1,1
484,52,51,51,0,1,25
485,76,75,74,1,1,4
486,51,69,76,1,0,23
487,75,75,60,0,1,9
488,65,87,75,0,1,18
489,55,55,50,1,1,1
490,97,97,92,0,1,14
491,0,0,0,0,1,28
492,25,25,50,0,1,19
493,50,35,50,0,0,24
494,26,56,51,0,0,13
495,51,62,45,0,1,24
496,12,10,16,0,1,29
497,13,20,15,0,1,21
498,52,52,52,0,1,24
499,100,98,100,1,1,24
500,77,98,99,1,0,22
501,25,14,26,0,1,11
502,51,76,76,1,0,12
503,100,100,78,1,0,10
504,13,33,33,1,0,10
505,69,65,75,0,0,26
506,39,51,25,0,0,13
507,26,51,61,0,0,16
508,5,15,10,0,1,28
509,100,100,100,0,1,1
510,64,76,52,0,0,28
511,64,64,63,0,1,22
512,69,72,76,1,1,28
513,100,100,100,1,1,27
514,11,26,25,0,1,3
515,76,76,50,0,1,1
516,50,61,51,1,0,20
517,75,64,78,0,1,18
518,100,99,100,1,0,8
519,95,99,99,1,0,28
520,89,95,16,0,0,24
521,55,66,82,1,1,18
522,54,40,52,1,1,19
523,100,100,100,0,1,23
524,19,36,16,0,0,22
525,77,76,73,1,0,14
526,75,56,50,0,0,29
527,59,76,63,0,0,28
528,60,33,62,0,1,22
529,58,55,60,0,1,13
530,100,100,100,1,1,1
531,89,95,76,1,1,25
532,82,84,83,1,1,2
533,49,42,51,1,0,5
534,50,50,50,1,1,4
535,64,51,63,1,0,25
536,33,41,17,1,0,5
537,62,72,50,1,0,30
538,87,58,52,0,1,20
539,5,4,3,0,0,30
540,76,88,27,0,1,17
541,49,50,49,0,0,24
542,9,7,36,1,1,9
543,98,98,99,1,1,25
544,11,22,16,1,0,23
545,97,100,96,1,0,17
546,74,75,75,0,0,9
547,78,100,78,1,1,6
548,76,68,51,0,0,10
549,52,76,6,0,0,20
550,50,78,50,0,0,13
551,50,75,50,1,0,23
552,51,76,78,1,0,5
553,69,70,74,1,1,7
554,36,16,2,0,0,6
555,77,76,51,0,0,26
556,41,97,67,1,0,9
557,51,50,52,0,1,12
558,41,51,25,0,1,21
559,58,50,51,0,1,4
560,44,56,54,1,1,28
561,13,24,17,0,1,17
562,55,58,62,1,0,2
563,70,69,68,1,1,9
564,31,72,8,0,0,20
565,25,25,25,0,1,7
566,9,15,13,1,0,10
567,50,52,53,1,1,13
568,4,14,10,1,1,3
569,98,99,99,1,0,5
570,NA,NA,NA,0,0,7
571,78,78,76,1,1,8
572,57,77,66,0,1,12
573,84,84,88,1,1,6
574,100,98,97,1,1,7
575,65,85,50,0,1,29
576,36,52,36,1,0,3
577,49,51,55,0,0,12
578,50,50,50,1,0,19
579,1,10,0,0,0,22
580,51,53,66,1,1,1
581,84,99,75,0,0,18
582,47,73,33,0,1,9
583,76,77,75,1,0,18
584,70,54,72,1,1,2
585,36,63,77,1,0,19
586,44,40,27,0,1,26
587,50,50,50,1,1,2
588,99,99,99,0,1,16
589,45,37,76,1,1,5
590,72,76,62,0,1,17
591,50,75,50,0,1,30
592,24,50,23,0,1,1
593,49,69,19,1,1,3
594,33,33,26,0,0,11
595,26,26,26,0,0,4
596,60,75,50,0,1,3
597,61,86,50,1,0,11
598,44,50,33,1,0,20
599,100,99,100,1,1,2
600,49,59,50,1,1,8
601,49,50,49,1,0,28
602,4,4,3,1,0,11
603,38,86,4,0,0,15
604,96,93,97,0,1,28
605,6,5,5,0,1,11
606,55,75,55,1,1,9
607,4,2,5,0,0,28
608,78,98,37,0,0,15
609,25,50,50,0,1,26
610,23,7,41,0,0,25
611,66,60,75,0,1,14
612,97,94,96,1,1,27
613,100,100,100,0,0,3
614,67,74,55,0,1,23
615,44,54,51,0,1,9
616,68,73,74,1,1,6
617,43,54,52,1,1,27
618,75,97,74,1,1,10
619,100,100,90,1,1,5
620,49,64,51,1,0,13
621,2,3,1,1,0,18
622,75,98,50,1,1,15
623,67,98,58,1,0,18
624,99,76,98,0,1,3
625,24,50,34,1,0,18
626,10,33,29,0,0,29
627,83,79,67,1,0,10
628,18,44,17,1,0,13
629,4,3,2,1,1,18
630,57,59,43,0,0,7
631,86,98,62,1,0,14
632,43,43,76,1,0,8
633,75,95,98,1,0,8
634,99,98,98,1,1,11
635,36,63,54,0,0,18
636,36,76,36,1,0,24
637,5,16,0,0,0,26
638,60,52,59,1,1,5
639,51,67,42,1,0,20
640,99,99,99,0,1,16
641,97,98,100,0,1,28
642,100,100,100,1,1,30
643,62,56,74,1,0,20
644,50,60,49,1,0,7
645,93,99,83,1,1,4
646,31,30,27,1,1,14
647,36,27,49,0,0,24
648,49,37,39,1,0,30
649,14,30,36,1,0,13
650,51,50,52,1,1,13
651,50,69,35,0,0,26
652,57,62,65,0,1,20
653,55,62,39,0,0,9
654,99,100,100,0,1,16
655,21,33,35,0,1,21
656,45,65,30,0,0,29
657,66,67,52,1,1,23
658,44,47,47,1,0,15
659,24,15,34,0,1,16
660,19,1,24,0,1,22
661,81,65,71,0,1,6
662,50,60,14,0,0,28
663,68,73,59,1,1,5
664,22,48,21,0,1,11
665,39,51,4,1,0,2
666,52,51,44,0,0,27
667,38,28,72,1,0,9
668,69,58,78,1,0,29
669,28,46,45,1,0,6
670,66,70,68,1,0,5
671,50,50,75,0,0,9
672,50,50,52,0,0,10
673,63,88,50,0,1,1
674,92,100,75,0,0,2
675,30,30,39,0,0,12
676,100,100,98,0,0,26
677,65,68,69,0,0,27
678,25,22,42,0,0,13
679,90,100,50,1,1,27
680,39,86,9,0,0,7
681,6,5,4,0,1,7
682,50,50,48,1,1,26
683,75,94,91,0,0,4
684,97,100,99,0,0,12
685,45,51,50,1,0,19
686,81,83,83,0,1,12
687,19,22,20,0,0,7
688,44,60,35,0,0,10
689,90,93,93,0,1,24
690,35,51,16,1,1,9
691,13,34,9,1,0,11
692,55,55,45,1,1,12
693,42,49,76,1,0,22
694,32,47,51,0,1,21
695,52,75,39,1,0,2
696,51,53,50,1,0,5
697,43,41,32,0,1,25
698,52,51,52,1,0,17
699,51,76,76,1,1,20
700,10,25,50,0,1,30
701,34,59,26,0,0,13
702,11,25,26,1,0,11
703,48,31,13,1,1,8
704,99,99,77,1,0,11
705,84,64,65,1,1,30
706,76,76,76,1,0,17
707,54,50,44,1,0,13
708,67,95,50,0,1,28
709,66,84,51,0,1,3
710,56,50,51,0,0,1
711,50,42,13,0,0,4
712,80,69,79,0,0,1
713,73,68,53,1,1,29
714,63,50,78,0,0,3
715,36,56,31,1,1,5
716,96,97,95,0,1,1
717,53,63,58,1,0,22
718,48,61,35,0,0,17
719,53,54,27,0,0,14
720,50,62,44,1,0,12
721,39,17,50,0,0,7
722,19,63,39,0,1,8
723,56,73,49,1,1,8
724,27,49,39,0,0,30
725,49,76,27,0,0,3
726,1,9,26,0,0,18
727,70,87,66,1,1,29
728,50,100,50,1,1,17
729,68,83,95,0,0,30
730,21,71,40,0,0,11
731,22,30,23,0,1,14
732,81,78,90,0,1,21
733,66,76,77,1,0,4
734,68,60,64,1,0,23
735,94,75,99,0,1,1
736,47,36,65,1,1,28
737,50,80,58,1,0,9
738,46,52,29,0,0,11
739,34,51,38,1,1,18
740,1,2,1,1,1,2
741,49,50,49,0,0,14
742,64,63,51,1,1,7
743,77,100,100,1,0,13
744,25,25,26,0,1,5
745,29,50,22,1,0,18
746,48,54,47,1,0,7
747,2,7,7,1,1,13
748,66,66,40,1,1,8
749,50,51,51,1,0,6
750,51,100,50,0,1,19
751,58,75,45,1,0,16
752,8,26,5,0,1,17
753,95,100,68,1,1,6
754,74,76,75,0,1,2
755,50,77,60,1,1,20
756,75,100,75,1,1,15
757,54,52,53,1,0,4
758,75,90,80,1,1,20
759,39,51,26,1,0,15
760,46,75,6,0,1,9
761,93,93,85,0,1,8
762,44,53,22,0,1,13
763,26,27,18,0,1,16
764,66,75,78,0,0,3
765,87,61,80,1,1,27
766,76,75,99,0,0,11
767,100,100,100,1,1,17
768,72,97,75,1,0,4
769,54,59,60,1,1,15
770,84,81,72,0,0,26
771,27,18,3,0,0,13
772,50,49,32,1,1,12
773,20,39,31,0,0,16
774,44,43,53,1,0,11
775,5,13,10,0,1,20
776,63,63,53,1,1,25
777,64,50,50,1,1,3
778,26,30,26,0,1,18
779,63,68,62,0,1,24
780,29,24,48,1,1,24
781,100,99,92,0,0,16
782,61,4,52,0,1,22
783,52,27,76,0,1,27
784,15,21,14,1,0,13
785,32,42,30,1,0,5
786,100,99,76,1,1,16
787,75,99,79,1,0,21
788,29,44,54,0,1,10
789,25,26,10,0,1,12
790,43,41,44,1,1,18
791,56,61,54,1,1,9
792,63,86,51,1,1,12
793,76,91,77,0,1,24
794,18,49,24,0,0,24
795,34,6,30,0,0,21
796,100,98,100,1,1,28
797,45,43,42,0,1,30
798,8,51,18,1,1,15
799,56,42,71,0,1,26
800,74,100,73,1,0,20
801,10,56,1,0,1,12
802,19,19,51,0,1,11
803,27,51,50,0,0,14
804,63,71,65,1,0,27
805,88,93,92,1,1,5
806,27,52,27,1,1,9
807,7,7,6,0,1,5
808,99,99,99,0,1,10
809,26,39,32,0,1,29
810,52,56,44,1,1,25
811,48,75,47,0,1,5
812,2,4,6,1,0,8
813,58,61,57,0,1,4
814,21,25,12,1,0,1
815,74,74,70,0,0,15
816,50,50,50,1,1,25
817,44,59,64,1,1,2
818,91,90,94,0,0,22
819,50,50,50,1,1,8
820,34,32,35,1,1,14
821,39,59,4,1,1,26
822,98,99,95,0,1,23
823,32,72,29,1,1,4
824,55,67,30,1,1,29
825,61,75,53,0,0,26
826,79,72,73,0,0,9
827,98,98,98,1,1,2
828,76,100,77,1,0,19
829,10,19,4,1,0,21
830,67,52,64,1,0,9
831,66,18,62,0,0,22
832,99,100,100,0,1,13
833,67,78,38,0,1,4
834,56,86,55,1,0,26
835,50,41,51,1,1,11
836,41,51,52,1,0,28
837,25,39,50,0,0,9
838,35,35,37,0,0,25
839,51,76,26,0,0,16
840,68,60,62,1,0,12
841,52,32,46,0,0,6
842,57,83,51,1,0,22
843,56,56,78,0,1,24
844,31,69,29,0,1,3
845,72,99,50,0,0,24
846,67,76,58,0,1,10
847,50,50,50,1,0,23
848,100,100,100,0,0,5
849,13,31,59,1,1,26
850,50,75,83,1,0,22
851,98,98,82,0,1,20
852,52,39,43,1,0,22
853,49,72,49,0,0,26
854,0,0,0,0,0,6
855,60,92,42,0,0,28
856,20,26,14,0,0,11
857,48,52,41,0,1,7
858,31,74,48,1,1,7
859,31,37,39,0,0,15
860,32,22,30,1,1,17
861,50,50,50,1,0,22
862,45,61,50,0,0,25
863,20,26,26,1,0,18
864,44,97,95,1,1,14
865,0,10,5,0,0,28
866,42,57,55,0,0,19
867,60,90,50,1,1,19
868,6,6,5,0,0,20
869,100,100,89,0,0,1
870,2,2,2,1,1,22
871,0,51,0,0,1,25
872,5,2,12,0,1,23
873,49,59,54,1,0,6
874,52,52,51,1,0,6
875,98,98,97,1,0,8
876,44,63,45,1,1,30
877,64,76,51,1,0,3
878,74,84,64,1,0,2
879,50,75,24,0,0,5
880,55,67,15,0,1,3
881,96,97,95,0,1,12
882,74,88,77,1,1,15
883,27,66,87,1,0,26
884,51,60,43,1,1,14
885,35,42,26,1,1,5
886,78,41,56,0,1,30
887,78,78,82,1,0,27
888,47,49,43,1,1,4
889,90,100,75,0,0,3
890,51,58,51,0,1,25
891,71,87,88,1,0,11
892,50,50,53,0,0,24
893,92,88,93,1,1,14
894,54,40,69,0,0,29
895,55,83,77,1,0,19
896,70,73,50,0,1,25
897,50,60,50,0,1,8
898,26,51,16,1,1,17
899,57,64,51,1,0,11
900,13,39,13,0,1,17
901,76,88,75,1,0,12
902,40,51,3,0,1,3
903,16,12,20,0,1,19
904,88,83,74,1,1,16
905,52,68,25,0,0,18
906,54,50,48,1,0,3
907,90,91,33,1,0,3
908,71,85,51,0,1,8
909,0,3,10,1,1,14
910,50,95,20,0,0,11
911,75,75,75,0,0,22
912,4,4,3,0,1,11
913,26,19,26,0,1,9
914,30,31,27,0,0,3
915,35,25,40,0,1,19
916,14,77,25,1,1,28
917,100,100,100,1,1,21
918,34,53,38,0,0,9
919,24,48,38,0,1,5
920,100,100,100,1,0,10
921,54,84,12,1,1,30
922,71,80,100,1,0,28
923,69,97,56,1,1,28
924,50,62,42,0,1,4
925,9,13,10,0,1,25
926,85,63,77,1,0,28
927,27,25,23,0,0,5
928,33,52,27,0,1,4
929,50,75,52,1,0,9
930,52,51,98,0,0,9
931,3,1,1,0,1,14
932,85,75,75,0,1,1
933,75,75,75,0,0,27
934,88,93,95,1,0,19
935,51,76,3,1,1,3
936,68,75,65,1,0,10
937,34,34,20,1,0,27
938,51,51,48,0,0,21
939,81,53,91,1,0,19
940,30,38,34,0,1,10
941,51,51,52,0,1,26
942,65,42,78,0,0,17
943,63,88,53,0,1,17
944,52,55,52,0,0,19
945,69,68,57,1,1,21
946,92,97,78,1,0,19
947,100,100,100,0,0,3
948,41,35,48,1,0,20
949,39,55,15,0,1,7
950,60,80,54,1,0,7
951,20,26,26,0,1,8
952,54,51,44,0,1,6
953,33,50,29,0,0,17
954,6,2,6,0,0,14
955,79,80,82,1,1,24
956,50,37,33,1,0,7
957,76,100,88,0,1,18
958,82,75,70,0,0,11
959,79,78,75,0,1,9
960,33,76,25,0,0,17
961,59,51,58,1,0,21
962,50,51,33,1,0,6
963,80,95,80,1,1,12
964,100,100,99,0,1,3
965,69,88,50,0,0,19
966,90,90,52,0,0,10
967,51,65,51,0,0,27
968,97,98,98,1,0,6
969,50,50,51,0,0,30
970,64,47,75,1,0,4
971,73,76,88,1,0,3
972,15,15,11,0,1,13
973,10,5,15,0,0,18
974,33,41,88,1,1,24
975,79,82,77,1,0,24
976,52,54,54,1,0,20
977,66,75,76,0,0,2
978,51,70,37,0,0,13
979,52,54,53,0,1,15
980,70,69,70,0,0,18
981,50,50,50,1,0,29
982,52,76,51,0,1,20
983,0,0,0,0,0,27
984,52,50,51,1,1,16
985,87,82,83,1,0,24
986,45,67,25,0,0,5
987,51,51,51,0,0,25
988,41,35,37,0,1,14
989,76,55,51,0,1,4
990,97,92,89,1,0,16
991,48,85,26,0,1,24
992,50,52,50,0,1,29
993,42,51,50,1,1,14
994,100,100,100,1,0,17
